year,country,updated_at,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),Arable land (% of land area),Arable land (hectares per person),"Birth rate, crude (per 1,000 people)",Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),"Death rate, crude (per 1,000 people)","Fertility rate, total (births per woman)",Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)",Land area (sq. km),Land under cereal production (hectares),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Net migration,"Official exchange rate (LCU per US$, period average)",Permanent cropland (% of land area),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, total",Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Rural population,Rural population (% of total population),Surface area (sq. km),"Total reserves (includes gold, current US$)"
1961,aut,2025-04-03 02:52:37 UTC,56.056,53.4733521857,43.0853126515,20.4677653902,0.238347267,18.6,2520.8,98.94,12.1,2.78,148.908821788,78.26,7346566037.833919,5.5379793168,1036.7282043608,4.9607171835,5.0871537168,3.5422398673,82520.0,902089.0,72.84,66.47,69.5773170732,0.0,35.0,22.7,40.2,-2760.0,26.000000025,0.7876878333,22.430745164,65.1578963338,12.4113585022,0.5484723564,53.3918228431,7086299.0,7761.456297568,55.0,2493385.0,35.186,83879.0,847058100.0
1961,bel,2025-04-03 02:52:37 UTC,23.648,56.1205759358,45.811492434,28.4178947021,0.1096478334,17.3,8021.4,100.51,11.6,2.63,326.2223557692,98.39,12561701694.3319,4.9784230632,1367.7888522814,4.6302571341,1.3154686943,0.9926762608,30333.0,313300.0,73.63,67.56,70.5209756098,0.0,28.2,18.9,32.5,10566.0,50.000000049,0.6791283421,23.8220051929,64.0530612365,12.1249335705,0.3322059458,51.0506254988,9183948.0,1306.6276072121,12.0,683837.0,7.446,33120.0,1819222317.9063497
1961,bgr,2025-04-03 02:52:37 UTC,69.501,50.2213098167,51.2790382356,38.4344210431,0.5353061606,17.4,1746.6,88.15,7.9,2.29,33.803621825,95.89,19839230769.2308,4.90016186,2238.8029578657,4.5511442295,2.8209383683,2.7,110630.0,2521386.0,72.06,68.42,70.1956097561,0.0,40.2,14.8,48.7,378.0,0.00117,3.3173641869,25.7879646776,66.5684466447,7.6435886777,0.9581558813,50.0584885933,7943118.0,2643.798065193,21.0,4862618.0,61.218,110990.0,670207829.90459
1961,cyp,2025-04-03 02:52:37 UTC,28.237,73.3226228,43.7229437229,35.6060606061,0.5524639219,26.15,654.8,164.06,9.814,3.619,51.2948328267,72.52,489912542.329518,20.2662921731,976.3298339844,21.2448763265,8.0287444202,-0.6153846154,9240.0,141673.0,68.519,61.464,64.804,0.0,35.4,6.1,38.0,-3695.0,0.3571429994,7.5757575758,36.3832756241,57.695788848,5.920935528,1.5269280525,50.9484243863,595514.0,1309.792884802,0.78,380087.0,63.825,9250.0,44700000.0
1961,cze,2025-04-03 02:52:37 UTC,40.413,53.2762287847,55.4160735085,43.1215219361,0.3225601908,13.7,4019.5,95.63,9.9,2.11,91.9276710684,125.48,41016881802.4843,-11.6149423495,3969.3673354379,-11.4025060103,36.192388574,11.0865000722,77270.0,1613589.0,73.55,67.62,70.5126829268,0.0,21.0,10.4,24.4,-5712.0,29.1528333333,0.996505759,25.1214825678,65.2416907699,9.6368266622,-0.1600425009,51.5050572472,9586651.0,1273.0091564693,13.15,3828621.0,39.937,78870.0,4551181360.14625
1961,deu,2025-04-03 02:52:37 UTC,46.717,50.1315207249,55.4950877896,35.0012889182,0.1665357639,17.9,2417.4,74.63,11.6,2.45,268.0687397709,72.26,96558204043.10281,4.2984395642,1315.907878345,3.4985763375,5.063994836,2.293695007,349130.0,7138919.0,72.38,67.04,69.6448780488,0.0,23.5,14.4,27.2,27534.0,4.0333333364,1.4435883482,21.7070935024,66.6082636931,11.6846428045,0.7698543443,53.3948035625,73377632.0,1458.2100441726,107.0,20768071.0,28.303,356970.0,7180500800.0
1961,dnk,2025-04-03 02:52:37 UTC,38.867,54.9746116131,79.0,70.175,0.6086709701,16.6,3383.5,53.94,9.4,2.55,152.7228357677,64.96,7058361229.35415,6.3788324756,1530.5377900439,5.6387435534,4.3066253825,3.4516285856,40000.0,1536555.0,74.4,70.57,72.4382926829,0.0,20.8,15.9,24.5,3012.0,6.9071400059,0.25,24.6955751996,64.5267052966,10.7777195038,0.6981420522,50.4085345755,4611687.0,1301.0423300627,6.0,1179808.0,25.583,42920.0,282882350.0
1961,esp,2025-04-03 02:52:37 UTC,9.23,55.6178188269,66.4892552723,32.5063027732,0.5285099669,21.2,1082.5,45.4,8.3,2.77,44.9252739136,36.61,14238126759.7335,11.8386741948,463.1904408772,10.8044868565,2.4663897537,0.8092528739,499780.0,6929785.0,71.98,67.1,69.4804878049,0.0,44.9,20.6,52.0,-46517.0,60.000000059,8.971947657,27.409584106,64.2599937038,8.3304221902,0.9290155346,51.3945017985,30739250.0,3617.5248257521,111.2,13124738.0,42.697,505990.0,887873550.0
1961,est,2025-04-03 02:52:37 UTC,25.208,51.6745676927,32.4133050248,26.3033734371,0.7272888563,16.5,1403.8,80.74,10.6,1.98,101.0852017937,114.08,4013091682.2914,-7.9998435944,2685.9088928736,-7.5366944589,132.5704289521,89.8119490277,42390.0,426051.0,73.052,65.067,68.9621219512,0.0,17.8,10.5,22.5,7991.0,13.22275,0.2830856334,23.3166756735,65.9306126497,10.7527116768,1.1113897704,55.7154619578,1225077.0,8290.4406848648,12.71,510808.0,41.696,45230.0,197501539.80639896
1961,fin,2025-04-03 02:52:37 UTC,25.188,59.2663189778,9.0800748547,8.7484815654,0.5973317672,18.4,1883.4,68.59,9.1,2.72,90.6702443052,87.01,5984433774.41601,7.6046704792,1341.4990062589,6.8479651813,5.3417780222,1.6910019153,304590.0,1029808.0,72.24,65.61,68.8441463415,0.0,20.6,15.2,25.2,-11828.0,3.2000000022,0.0032831019,29.7802956515,62.7879094238,7.4317949247,0.7057114837,51.8016047989,4461005.0,23985.6265572444,107.0,1948522.0,43.679,338150.0,342971000.0
